시군구,농림어업,제조업,건설업,도소매업,숙박음식업,운수창고업,정보통신업,금융보험업,부동산업,전문과학업,교육서비스업,보건복지업,기타서비스업,총사업체수
구미시,452,7376,4543,14101,8029,5157,728,516,13152,1379,2956,1730,6524,71461
경주시,1407,5944,3424,9859,8891,3183,370,247,7508,968,1463,1486,7098,55287
경산시,523,4966,2929,11134,5058,3771,551,266,8978,1206,1627,1351,4793,50108
포항시 북구,863,1630,4297,11027,5793,2711,389,299,8323,978,1867,1343,5392,47417
포항시 남구,1170,2543,3473,8840,5843,4934,372,305,6799,923,1341,1062,4873,44511
안동시,825,1295,3345,6461,3819,2055,327,217,4995,682,1001,1124,5107,35228
칠곡군,313,5048,1508,5778,2519,2003,143,81,4209,343,563,629,2296,27422
김천시,748,1534,1800,4757,2750,1698,205,142,4831,413,765,1019,3284,26935
영주시,429,962,2185,4397,2390,1187,120,99,2571,298,556,713,3826,22512
영천시,745,2671,1642,4145,2005,1952,108,90,2211,295,415,855,3043,22345
상주시,906,1327,1916,3341,1889,1321,129,87,1912,409,463,1002,2892,21921
문경시,644,797,1303,2880,1894,573,84,60,1635,211,344,713,2441,15209
예천군,420,405,620,1701,1057,343,70,50,1797,154,342,360,2236,12332
성주군,500,2276,833,1878,1076,1063,35,46,1056,139,129,428,1214,11710
의성군,594,541,1060,1740,903,1021,66,56,668,149,149,660,1976,11578
울진군,769,336,778,2000,1604,261,51,36,951,103,230,215,2104,10052
영덕군,901,402,817,1805,1464,233,37,52,850,103,128,426,1343,9973
청도군,446,596,430,1532,1357,767,47,35,716,151,158,510,1721,9220
고령군,246,1978,625,1489,628,644,36,23,906,95,98,330,924,8792
봉화군,391,283,538,977,754,138,32,24,364,107,82,337,1387,7053
청송군,755,248,302,1086,775,175,29,26,347,46,74,305,916,5648
영양군,262,125,379,533,316,82,22,14,158,48,52,265,482,3730
울릉군,154,115,147,430,557,88,11,10,432,19,24,41,257,2404
